Detector_Number,x,y,z,Total_Energy_Deposited,Energy_Per_Particle,Energy_Squared_Sum,Quadric_Energy_Per_Particle,sigma,n_total,m_sigma,Ix,Iy,Iz
115,-5.6,8.8,-1.5,10523871.485000003,0.0023651806910888872,1591564124048.2998,39665.41114295898,0.6622956340000001,4449500000.0,0.0008505936000672118,4,22,0
116,-4.8,-8.8,-1.5,13012604.029999997,0.0031052628636200927,3988679131150.0,95810.46628079997,0.8374617549999999,4190500000.0,0.0014297824369169031,5,0,0
117,-4.8,-8.0,-1.5,16018921.98,0.0034665487946331963,4316169452760.0,109533.5749111,1.0464628391999997,4621000000.0,0.0013487595314262066,5,1,0
118,-4.8,-7.2,-1.5,18940243.130000003,0.003938908834355829,3742207323680.0,92018.20896750002,1.1015397970000003,4808500000.0,0.0012069118521808443,5,2,0
119,-4.8,-6.4,-1.5,23885092.539999995,0.004421118471078203,5887100125850.0,136336.14427899997,1.384687179,5402500000.0,0.0013473399472971738,5,3,0
120,-4.8,-5.6,-1.5,25347114.465000007,0.004598950279415768,6551074352783.8,158226.71591597,1.4696324483,5511500000.0,0.0013931815145897522,5,4,0
121,-4.8,-4.8,-1.5,39570844.019999996,0.007236803953913679,11373062411200.0,291832.19032399997,2.2251115690000014,5468000000.0,0.0018502544379165298,5,5,0
122,-4.8,-4.0,-1.5,40875488.626,0.007205903680211547,10993229266368.0,241640.1893630401,2.0996386388999997,5672500000.0,0.0017535146032536483,5,6,0
123,-4.8,-3.2,-1.5,56094311.64000001,0.00944348680808081,15555917696280.0,381471.9419964999,2.8454295470000006,5940000000.0,0.0019919692075897775,5,7,0
124,-4.8,-2.4,-1.5,67478629.74000001,0.011500405579889222,19487324700870.0,459209.7659819003,3.197784091999999,5867500000.0,0.002257065999295766,5,8,0
125,-4.8,-1.6,-1.5,68927966.85,0.011567035886893774,22216262981280.0,518430.33327620017,3.2367020863000002,5959000000.0,0.002372921467360516,5,9,0
